Lat ,Long
59.773334,30.236466
59.773334,30.236466
59.7733445,30.2364705
59.7733445,30.2364705
59.7733445,30.2364705
59.7733445,30.2364705
59.7733445,30.2364705
59.7733415,30.2364765
59.7733415,30.2364885
59.7733415,30.2364885
59.7733415,30.2365065
59.7733475,30.23652
59.773352,30.2365035
59.7733535,30.236508
59.773355,30.23649
59.7733445,30.236514
59.7733445,30.236514
59.773367,30.236364
59.7733475,30.236325
59.7731585,30.2344905
59.7735335,30.233409
59.773421,30.2334675
59.773427,30.233514
59.7734315,30.233535
59.7734405,30.233613
59.773439,30.233709
59.7734855,30.2338515
59.772917,30.235542
59.77388,30.237033
59.774027,30.2366175
59.7741185,30.236307
59.7742925,30.23586
59.7747245,30.234363
59.77433,30.233508
59.7743195,30.2323665
59.7744875,30.231609
59.775044,30.232311
59.775242,30.232623
59.775377,30.232833
59.7760265,30.2337525
59.7774125,30.23502
59.781413,30.2343195
59.782043,30.2341155
59.7820505,30.2341245
59.783054,30.233835
59.785031,30.2331075
59.7854825,30.2329575
59.7858785,30.232944
59.789117,30.2325375
59.7897575,30.2329485
59.7917735,30.234987
59.79209,30.235311
59.79317,30.236352
59.7933515,30.236529
59.793728,30.236898
59.793827,30.2369925
59.7941285,30.237285
59.7952535,30.2384085
59.7953555,30.2385165
59.796575,30.239769
59.7984335,30.2416455
59.7984845,30.2417085
59.79992,30.2431575
59.8012025,30.2444115
59.8080785,30.2486325
59.8081415,30.2486205
59.8092785,30.247686
59.810501,30.247095
59.8107275,30.246999
59.810789,30.2469285
59.8109225,30.2467575
59.810984,30.246708
59.8110095,30.246705
59.811086,30.2466945
59.811146,30.2467215
59.811827,30.2474385
59.8119365,30.2476125
59.811941,30.247779
59.812067,30.2480565
59.812106,30.248127
59.8121945,30.2482665
59.8130465,30.2495145
59.8131605,30.249609
59.8136855,30.250038
59.813795,30.2499885
59.814257,30.2497485
59.8147085,30.249543
59.8147655,30.2495055
59.816063,30.2481945
59.816702,30.2478285
59.8167995,30.247752
59.8168595,30.247746
59.817599,30.247455
59.8186625,30.247974
59.818991,30.2481495
59.8192985,30.248241
59.81957,30.2484075
59.8216235,30.2496495
59.821652,30.249654
59.822327,30.2500395
59.8225475,30.2501715
59.823332,30.2507235
59.824634,30.251418
59.824949,30.251613
59.825024,30.251667
59.8257425,30.2521695
59.8257665,30.25218
59.82602,30.2522775
59.826164,30.252378
59.8276385,30.255606
59.828885,30.2581755
59.829008,30.258069
59.8292585,30.257856
59.8295825,30.257574
59.830238,30.2569515
59.830766,30.256503
59.8308875,30.256419
59.8309475,30.2562555
59.8309475,30.2562555
59.830967,30.256236
59.8311965,30.256053
59.831261,30.255951
59.8314515,30.256143
59.832425,30.2604405
59.8324685,30.260661
59.8324685,30.260661
59.832503,30.2609625
59.8324985,30.261069
59.832545,30.2613105
59.83256,30.2613285
59.832737,30.262689
59.832803,30.262827
59.832923,30.2629755
59.832923,30.2629755
59.8329395,30.262986
59.8329395,30.262986
59.8331495,30.2635455
59.8331555,30.2635905
59.833226,30.2638035
59.833253,30.263877
59.8333325,30.2641695
59.8333415,30.2642145
59.8334735,30.264951
59.8334855,30.2649885
59.8338215,30.266736
59.8351805,30.265746
59.835446,30.265476
59.835605,30.2655495
59.835689,30.26571
59.83577,30.2658045
59.835812,30.26583
59.835902,30.2658225
59.835944,30.2657955
59.836319,30.26544
59.836421,30.265332
59.836784,30.264954
59.837612,30.264108
59.838038,30.263871
59.838038,30.263871
59.838038,30.263871
59.838245,30.263598
59.838389,30.2634225
59.838419,30.2633745
59.8384205,30.2633745
59.8385165,30.263253
59.8385465,30.263214
59.8387145,30.2629275
59.8387715,30.2628675
59.838953,30.26268
59.8390775,30.2624925
59.8390775,30.2624925
59.8390775,30.2624925
59.8390925,30.2624715
59.839292,30.2623365
59.8395065,30.2622765
59.8395275,30.2622525
59.8395935,30.262221
59.840372,30.261693
59.8406375,30.261447
59.84105,30.2610555
59.841227,30.2608725
59.841353,30.260745
59.8424435,30.259719
59.8427345,30.259632
59.8430675,30.260649
59.84369,30.2626455
59.8439225,30.2634675
59.8443785,30.2648235
59.8444235,30.264852
59.8445135,30.264855
59.845019,30.2643255
59.8453415,30.26397
59.846177,30.262959
59.8468205,30.2622615
59.8469165,30.2621655
59.846969,30.2620905
59.8473455,30.2616435
59.8476785,30.2612235
59.8479425,30.260922
59.850578,30.257775
59.850755,30.257559
59.850695,30.2569605
59.850575,30.256689
59.8505615,30.256653
59.849798,30.2539905
59.84927,30.2522535
59.8492025,30.2520735
59.8486715,30.2501715
59.8479965,30.24798
59.8479575,30.2479245
59.847794,30.2475915
59.8473815,30.245949
59.8447535,30.236553
59.843936,30.2337285
59.8433855,30.2317665
59.8427075,30.229638
59.8424705,30.228795
59.841533,30.2255025
59.8408745,30.223602
59.8408655,30.2235945
59.83991,30.221073
59.8386545,30.2162745
59.839085,30.2159685
59.840999,30.214998
59.8411775,30.2149005
59.8415075,30.214722
59.841653,30.2146455
