eventid,angle,carid,driverid,height,lat,lon,lurch,maxvectoracc,midvectoracc,origid,speed,tanage,xacc,yacc,zacc,eventdt,entrydt,iscan
10832273,288,10005,10005,22,5956.2797,3022.4722,81,0.150000005960464,0.0399999991059303,4689099,9.805,0,-0.0799999982118607,0.119999997317791,0,2016-10-09 08:17:07+03,2016-10-24 14:57:39.867+03,True
10832274,289,10005,10005,21,5956.2807,3022.4589,85,0.170000001788139,0.0900000035762787,4689100,14.245,0,-0.100000001490116,-0.0399999991059303,-0.129999995231628,2016-10-09 08:17:10+03,2016-10-24 14:57:39.867+03,True
10832275,288,10005,10005,20,5956.2808,3022.4517,85,0.379999995231628,0.129999995231628,4689101,7.955,0,0.209999993443489,-0.310000002384186,-0.0700000002980232,2016-10-09 08:17:12+03,2016-10-24 14:57:39.867+03,True
10832276,297,10005,10005,18,5956.2811,3022.4445,86,0.119999997317791,0.0399999991059303,4689102,9.4165,-1,0.00999999977648258,-0.119999997317791,-0.0199999995529652,2016-10-09 08:17:15+03,2016-10-24 14:57:39.867+03,True
10832277,296,10005,10005,18,5956.2817,3022.4402,91,0.189999997615814,0.0799999982118607,4689103,14.245,0,-0.109999999403954,0.100000001490116,-0.109999999403954,2016-10-09 08:17:16+03,2016-10-24 14:57:39.867+03,True
10832278,299,10005,10005,18,5956.2938,3022.3934,99,0.180000007152557,0.0500000007450581,4689104,33.855,-1,0.00999999977648258,-0.180000007152557,0,2016-10-09 08:17:22+03,2016-10-24 14:57:39.867+03,True
10832279,298,10005,10005,18,5956.2987,3022.3741,45,0.270000010728836,0.0700000002980232,4689105,36.7965,0,-0.0399999991059303,0.259999990463257,0,2016-10-09 08:17:24+03,2016-10-24 14:57:39.867+03,True
10832280,296,10005,10005,17,5956.306,3022.3449,78,0.129999995231628,0.0500000007450581,4689106,36.63,-1,-0.0299999993294477,-0.0199999995529652,-0.119999997317791,2016-10-09 08:17:27+03,2016-10-24 14:57:39.867+03,True
10832281,294,10005,10005,17,5956.313,3022.3141,90,0.189999997615814,0.0599999986588955,4689107,39.035,-2,-0.0500000007450581,-0.180000007152557,-0.0199999995529652,2016-10-09 08:17:30+03,2016-10-24 14:57:39.867+03,True
10832282,295,10005,10005,17,5956.3182,3022.2912,94,0.430000007152557,0.0900000035762787,4689108,42.365,-1,0.0500000007450581,0.25,0.349999994039536,2016-10-09 08:17:32+03,2016-10-24 14:57:39.867+03,True
10832283,293,10005,10005,17,5956.3233,3022.2669,82,0.189999997615814,0.0599999986588955,4689109,44.03,0,-0.0199999995529652,0.170000001788139,0.0700000002980232,2016-10-09 08:17:34+03,2016-10-24 14:57:39.867+03,True
10832284,294,10005,10005,17,5956.3259,3022.255,85,0.259999990463257,0.0799999982118607,4689110,43.475,-1,0.0399999991059303,-0.239999994635582,-0.0799999982118607,2016-10-09 08:17:35+03,2016-10-24 14:57:39.867+03,True
10832285,293,10005,10005,17,5956.3284,3022.2432,82,0.319999992847443,0.129999995231628,4689111,42.55,-1,0.0599999986588955,-0.310000002384186,0.00999999977648258,2016-10-09 08:17:36+03,2016-10-24 14:57:39.867+03,True
10832286,291,10005,10005,18,5956.3304,3022.2323,79,0.189999997615814,0.0599999986588955,4689112,38.295,0,0.129999995231628,0,0.140000000596046,2016-10-09 08:17:37+03,2016-10-24 14:57:39.867+03,True
10832287,288,10005,10005,18,5956.3319,3022.2236,79,0.219999998807907,0.100000001490116,4689113,30.155,0,0.0199999995529652,-0.209999993443489,-0.0599999986588955,2016-10-09 08:17:38+03,2016-10-24 14:57:39.867+03,True
10832288,280,10005,10005,18,5956.3325,3022.2167,78,0.180000007152557,0.0500000007450581,4689114,23.31,0,-0.0700000002980232,0.159999996423721,-0.0299999993294477,2016-10-09 08:17:40+03,2016-10-24 14:57:39.867+03,True
10832289,279,10005,10005,18,5956.333,3022.2116,78,0.200000002980232,0.0500000007450581,4689115,16.835,0,-0.0599999986588955,0.189999997615814,0.0299999993294477,2016-10-09 08:17:40+03,2016-10-24 14:57:39.867+03,True
10832290,279,10005,10005,18,5956.3333,3022.2081,69,0.200000002980232,0.0599999986588955,4689116,11.285,0,-0.0199999995529652,0.189999997615814,0.0299999993294477,2016-10-09 08:17:41+03,2016-10-24 14:57:39.867+03,True
10832291,282,10005,10005,18,5956.3336,3022.2056,62,0.119999997317791,0.0599999986588955,4689117,8.325,0,0,-0.119999997317791,-0.0199999995529652,2016-10-09 08:17:42+03,2016-10-24 14:57:39.867+03,True
10832292,292,10005,10005,17,5956.334,3022.2038,78,0.109999999403954,0.0299999993294477,4689118,6.105,-3,-0.00999999977648258,-0.100000001490116,-0.00999999977648258,2016-10-09 08:17:43+03,2016-10-24 14:57:39.867+03,True
10832293,291,10005,10005,17,5956.3342,3022.2024,90,0.109999999403954,0.0299999993294477,4689119,4.81,-7,-0.00999999977648258,0.109999999403954,0.00999999977648258,2016-10-09 08:17:44+03,2016-10-24 14:57:39.867+03,True
10832294,264,10005,10005,17,5956.3341,3022.2008,95,0.140000000596046,0.0500000007450581,4689120,5.18,-8,0.0500000007450581,0.0900000035762787,-0.0900000035762787,2016-10-09 08:17:45+03,2016-10-24 14:57:39.867+03,True
10832295,240,10005,10005,17,5956.3335,3022.1987,99,0.180000007152557,0.0599999986588955,4689121,6.845,-8,0,0.180000007152557,0,2016-10-09 08:17:47+03,2016-10-24 14:57:39.867+03,True
10832296,219,10005,10005,17,5956.3319,3022.1963,101,0.140000000596046,0.0500000007450581,4689122,12.58,-7,-0.0799999982118607,0.100000001490116,-0.0500000007450581,2016-10-09 08:17:48+03,2016-10-24 14:57:39.867+03,True
10832297,206,10005,10005,17,5956.3295,3022.1939,101,0.25,0.109999999403954,4689123,15.725,-5,-0.0599999986588955,-0.0900000035762787,-0.219999998807907,2016-10-09 08:17:49+03,2016-10-24 14:57:39.867+03,True
10832298,196,10005,10005,15,5956.3252,3022.191,100,0.170000001788139,0.0399999991059303,4689124,20.905,-4,0,0.150000005960464,0.0599999986588955,2016-10-09 08:17:50+03,2016-10-24 14:57:39.867+03,True
10832299,194,10005,10005,13,5956.3204,3022.1881,99,0.200000002980232,0.0799999982118607,4689125,23.68,-4,-0.0500000007450581,0.189999997615814,0.0399999991059303,2016-10-09 08:17:51+03,2016-10-24 14:57:39.867+03,True
10832300,193,10005,10005,11,5956.3152,3022.185,94,0.200000002980232,0.0799999982118607,4689126,26.27,-2,-0.0599999986588955,-0.159999996423721,-0.0900000035762787,2016-10-09 08:17:52+03,2016-10-24 14:57:39.867+03,True
